City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,23.0,63,0,8.62,MU,1691608101
1,port-aux-francais,-49.35,70.2167,2.48,78,87,12.06,TF,1691608021
2,beledweyne,4.7358,45.2036,26.0,60,79,9.93,SO,1691608619
3,nemuro,43.3236,145.575,18.78,100,100,6.06,JP,1691607923
4,bubaque,11.2833,-15.8333,27.56,79,44,3.58,GW,1691608104
5,bethel,41.3712,-73.414,29.45,52,40,4.12,US,1691608552
6,malmberget,67.1753,20.6549,16.31,59,0,1.54,SE,1691608619
7,grytviken,-54.2811,-36.5092,-7.19,66,2,3.58,GS,1691608090
8,hermanus,-34.4187,19.2345,13.25,88,0,4.93,ZA,1691608579
9,pacific grove,36.6177,-121.9166,22.34,82,40,5.14,US,1691608620
10,tadjourah,12.0,42.5,31.5,37,100,5.13,DJ,1691608620
11,ndende,-2.4008,11.3581,26.9,58,100,2.64,GA,1691608620
12,nova sintra,14.8667,-24.7167,23.24,72,66,7.98,CV,1691608588
13,adamstown,-25.066,-130.1015,19.07,73,19,9.76,PN,1691608071
14,geraldton,-28.7667,114.6,8.23,93,6,2.57,AU,1691608578
15,qaqortoq,60.7167,-46.0333,8.34,71,21,2.61,GL,1691608124
16,mejit,10.2753,170.8646,27.66,71,54,4.67,MH,1691608621
17,tiksi,71.6872,128.8694,15.03,55,8,3.55,RU,1691608557
18,port elizabeth,-33.918,25.5701,17.16,77,0,8.75,ZA,1691608517
19,iqaluit,63.7506,-68.5145,3.72,100,100,3.58,CA,1691608105
20,flying fish cove,-10.4217,105.6791,23.82,88,75,5.66,CX,1691608609
21,georgetown,5.4112,100.3354,27.23,90,40,3.6,MY,1691608560
22,puerto natales,-51.7236,-72.4875,4.5,88,100,1.31,CL,1691608552
23,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,76,0,3.0,RU,1691607965
24,witu,-2.3889,40.4382,23.59,83,14,5.48,KE,1691608622
25,jamestown,42.097,-79.2353,27.23,55,0,7.72,US,1691607908
26,mancora,-4.1078,-81.0475,25.75,69,34,5.31,PE,1691608624
27,glace bay,46.1969,-59.957,18.77,93,100,4.92,CA,1691608618
28,isafjordur,66.0755,-23.124,10.46,53,59,3.27,IS,1691608029
29,antsiranana,-12.2787,49.2917,22.24,80,1,5.64,MG,1691608041
30,bilibino,68.0546,166.4372,8.2,52,98,1.61,RU,1691608561
